"Trajectory 1","Weight 1","Trajectory 2","Weight 2","Trajectory 3","Weight 3"
"Sparc","0.120","S100a6","0.113","Cox6a1","0.085"
"Lgals1","0.120","Malat1","0.106","S100a6","0.083"
"1810020D17Rik","0.110","Acta2","0.096","Actb","0.081"
"Tpm2","0.103","Ascl1","0.090","Ftl1","0.078"
"Id3","0.099","Id2","0.088","Acta2","0.075"
"Id2","0.098","Cox8b","0.088","Eif5a","0.074"
"B2m","0.098","Snca","0.086","Dpysl2","0.074"
"Fstl1","0.097","S100a4","0.085","Tmsb4x","0.073"
"Ifitm2","0.092","Tagln","0.085","Cct6a","0.071"
"Anxa2","0.092","Tnnt2","0.085","Tuba1a","0.069"
"Tubb6","0.089","Timp1","0.082","Actg1","0.069"
"Tnnt2","0.087","1810020D17Rik","0.081","Cfl1","0.067"
"Cox8b","0.085","Tubb3","0.078","Golt1b","0.067"
"Stmn2","0.085","Schip1","0.078","Poldip3","0.067"
"Myl12a","0.084","Arhgdib","0.076","Morf4l2","0.065"
"Snap25","0.082","Tnni1","0.076","Vps29","0.065"
"Cryab","0.081","A330076H08Rik","0.076","Timp1","0.064"
"Actb","0.078","Tagln2","0.075","Ncs1","0.064"
"Ppib","0.078","Cav1","0.075","Sec61a1","0.064"
"S100a11","0.078","Acta1","0.074","Vim","0.063"
"Tpm1","0.077","Dner","0.074","Dstn","0.063"
"Dbi","0.077","Ndufb7","0.071","Tagln2","0.062"
"Tnnc1","0.074","Bgn","0.071","Stmn1","0.062"
"S100a10","0.074","Anxa1","0.070","Nme1","0.061"
"Bex2","0.074","Ifi27l1","0.069","Tagln","0.061"
"Malat1","0.073","Cnn2","0.068","S100a4","0.061"
"Gng5","0.072","Nbl1","0.068","Hspa5","0.059"
"Lpar1","0.072","Vim","0.067","Usp22","0.059"
"Cald1","0.072","Pgam2","0.067","Acot7","0.059"
"Emp3","0.072","rtTA","0.066","Anxa1","0.059"
"Pgam2","0.071","Tpm2","0.066","Sept2","0.059"
"Mgp","0.071","Tm4sf1","0.065","Impact","0.059"
"Snhg11","0.071","Egr1","0.065","Eif1a","0.058"
"Crip2","0.070","Ypel3","0.065","Psmb2","0.058"
